     61522        043   13736612   14055353
     61522        044   14055354   14374021
     61522        045   14374022   14692380
     61522        046   14692381   15010748
     61522        047   15010749   15328875
     61522        048   15328876   15647295
     61522        049   15647296   15964762
     61522        050   15964763   16282890
     61522        051   16282891   16602394
     61522        052   16602395   16919582
     61522        053   16919583   17238256
     61522        054   17238257   17558131
     61522        055   17558132   17877521
     61522        056   17877522   18222441
     61522        057   18222442   18540070
     61522        058   18540071   18868095
     61522        059   18868096   19203650
     61522        060   19203651   19534639
     61522        061   19534640   19852899
     61522        062   19852900   20158539
     61523        000          0     316495
     61523        001     316496     659683
     61523        002     659684     976510
     61523        003     976511    1292182
     61523        004    1292183    1607398
     61523        005    1607399    1926132
     61523        006    1926133    2245164
     61523        007    2245165    2575292
     61523        008    2575293    2892023
     61523        009    2892024    3210054
     61523        010    3210055    3560115
     61523        012    3881480    4198900
     61523        013    4198901    4517562
     61523        014    4517563    4847632
     61523        015    4847633    5178213
     61523        016    5178214    5484754
     61524        000          0     318038
     61524        001     318039     635246
     61524        002     635247     953034
     61524        003     953035    1270139
     61524        004    1270140    1588327
     61524        005    1588328    1907425
     61524        006    1907426    2226001
     61524        007    2226002    2544738
     61524        008    2544739    2888559
     61524        009    2888560    3216507
     61524        010    3216508    3534170
     61524        011    3534171    3869675
     61524        012    3869676    4187943
     61524        013    4187944    4507568
     61524        014    4507569    4825429
     61524        015    4825430    5145343
     61524        016    5145344    5468323
     61524        017    5468324    5787240
     61524        018    5787241    6105567
     61524        019    6105568    6439573
     61524        020    6439574    6758488
     61524        021    6758489    7089913
     61524        022    7089914    7407456
     61524        023    7407458    7726316
     61524        024    7726317    8045333
     61524        025    8045334    8365249
     61524        026    8365250    8704354
     61524        027    8704355    9024382
     61524        028    9024383    9357715
     61524        029    9357716    9678796
     61524        030    9678797    9997656
     61524        031    9997657   10316354
     61524        032   10316355   10635379
     61524        033   10635380   10955839
     61524        034   10955840   11275293
     61524        035   11275294   11595385
     61524        036   11595386   11916394
     61524        037   11916395   12236618
     61524        038   12236619   12556134
     61524        039   12556135   12876171
     61524        040   12876172   13195494
     61524        041   13195495   13515663
     61524        042   13515664   13842543
     61524        043   13842544   14168475
     61524        044   14168476   14488626
     61524        045   14488627   14827451
     61524        046   14827452   15148348
     61524        047   15148349   15468006
     61524        048   15468007   15801920
     61524        049   15801921   16144896
     61524        050   16144897   16463527
     61524        051   16463528   16782696
     61524        052   16782697   17102131
     61524        053   17102132   17421535
     61524        054   17421536   17758616
     61524        055   17758617   18079126
     61524        056   18079127   18398856
     61524        057   18398857   18717825
     61524        058   18717826   19038659
     61524        059   19038660   19358353
     61524        060   19358354   19678737
     61524        061   19678738   19809908
     61525        000          0     318369
     61525        001     318370     637366
     61525        002     637367     955707
     61525        003     955708    1275897
     61525        004    1275898    1594747
     61525        005    1594748    1932670
     61525        006    1932671    2251204
     61525        007    2251205    2585070
     61525        008    2585071    2902322
     61525        009    2902323    3219718
     61525        010    3219719    3539179
     61525        011    3539180    3857308
     61525        012    3857309    4210112
     61525        013    4210113    4527894
     61525        014    4527895    4845685
